Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"-5,568.62",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,HTF Trend Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry
"EMA Crossover, HTF Trend","Fast EMA: 9, Slow EMA: 21",HTF Period: 20,12.0,"10.0, 25.0, 50.0, 100.0","Enabled: True, Activation: 5.0 points, Distance: 7.0 points",5
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-07-18 11:08:05,2025-07-18 11:27:18,197.95,185.95,,375,-4543.68
2025-07-18 11:31:59,2025-07-18 11:34:57,189.75,199.85,,75,748.11
2025-07-18 11:31:59,2025-07-18 11:37:29,189.75,197.4,,300,2257.9
2025-07-18 11:44:05,2025-07-18 11:49:54,210.2,198.2,,375,-4546.56
2025-07-18 11:54:03,2025-07-18 12:12:05,193,203.6,,75,785.43
2025-07-18 11:54:03,2025-07-18 12:20:41,193,208.5,,300,4610.82
2025-07-18 12:36:48,2025-07-18 12:39:30,207,194.75,,375,-4639.5
2025-07-18 12:44:08,2025-07-18 12:49:36,199,196.45,,375,-1002.4
2025-07-18 13:58:54,2025-07-18 14:03:14,174.9,177.05,,375,764.66
2025-07-18 14:44:15,2025-07-18 14:46:13,174,174.1,,375,-3.4
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
43.68,-4587.36,Stop Loss,19.22,95412.64,,
9.39,738.72,Take Profit 1,2.97,96151.36,,
37.1,2220.81,Trailing Stop,5.5,98372.17,,
46.56,-4593.12,Stop Loss,5.82,93779.05,,
9.57,775.87,Take Profit 1,18.03,94554.92,,
39.18,4571.63,Trailing Stop,26.63,99126.55,,
45.75,-4685.25,Stop Loss,2.7,94441.31,,
46.15,-1048.55,Trailing Stop,5.47,93392.76,,
41.59,723.07,Trailing Stop,4.33,94115.83,,
40.9,-44.29,Trailing Stop,1.97,94071.54,,
