Unnamed: 0,Unnamed: 1,Unnamed: 2,Gross P&L Total,"11,287.15",Unnamed: 5,Unnamed: 6
,,,,,,
Indicators Activated,EMA Parameters,SL Points,TP Points,Trailing Stop,Green Bars Required for Entry,
EMA Crossover,"Fast EMA: 9, Slow EMA: 21",7.0,"10.0, 50.0, 75.0, 100.0","Enabled: True, Activation: 7.0 points, Distance: 7.0 points",3,
,,,,,,
Entry Time,Exit Time,Entry Price,Exit Price,Lots,Total Qty,Gross P&L
,,,,,,
2025-08-22 09:20:00,2025-08-22 09:20:21,213.4,223.95,,75,780.73
2025-08-22 09:20:00,2025-08-22 09:22:37,213.4,221.4,,300,2358.39
2025-08-22 09:23:32,2025-08-22 09:25:06,222.75,233.55,,75,799.03
2025-08-22 09:23:32,2025-08-22 09:25:23,222.75,226.45,,300,1067.44
2025-08-22 09:25:28,2025-08-22 09:29:57,231.1,241.6,,75,776.15
2025-08-22 09:25:28,2025-08-22 09:32:48,231.1,264.2,,300,9880.35
2025-08-22 09:33:28,2025-08-22 09:34:39,267.2,259.8,,375,-2836.03
2025-08-22 09:35:40,2025-08-22 09:36:43,256.9,257,,375,-22.87
2025-08-22 09:37:46,2025-08-22 09:40:42,262.65,255,,375,-2928.65
2025-08-22 09:42:25,2025-08-22 09:44:33,256.55,249.25,,375,-2796.05
2025-08-22 09:46:58,2025-08-22 09:50:36,251.7,262,,75,760.19
2025-08-22 09:46:58,2025-08-22 09:51:45,251.7,262.2,,300,3100.73
2025-08-22 09:52:36,2025-08-22 09:53:14,257.85,249.95,,375,-3021.22
2025-08-22 09:54:44,2025-08-22 09:55:23,256.05,267,,75,808.71
2025-08-22 09:54:44,2025-08-22 09:56:48,256.05,264.75,,300,2560.25
,,,,,,
Commission,Net P&L,Exit Reason,Duration (min),Capital Outstanding,,
,,Starting Capital,,100000,,
10.52,770.21,Take Profit 1,0.35,100770.21,,
41.61,2316.79,Trailing Stop,2.62,103086.99,,
10.97,788.05,Take Profit 1,1.57,103875.05,,
42.56,1024.89,Trailing Stop,1.85,104899.94,,
11.35,764.8,Take Profit 1,4.48,105664.74,,
49.65,9830.7,Trailing Stop,7.33,115495.44,,
61.03,-2897.06,Stop Loss,1.18,112598.38,,
60.37,-83.24,Trailing Stop,1.05,112515.13,,
59.9,-2988.55,Stop Loss,2.93,109526.58,,
58.55,-2854.6,Stop Loss,2.13,106671.98,,
12.31,747.88,Take Profit 1,3.63,107419.86,,
49.27,3051.45,Trailing Stop,4.78,110471.31,,
58.72,-3079.93,Stop Loss,0.63,107391.38,,
12.54,796.16,Take Profit 1,0.65,108187.55,,
49.75,2510.49,Trailing Stop,2.07,110698.04,,
